Entity,Code,Year,Crude divorce rate
Australia,AUS,1970,1
Australia,AUS,1980,2.7
Australia,AUS,1981,2.8
Australia,AUS,1982,2.9
Australia,AUS,1983,2.8
Australia,AUS,1984,2.8
Australia,AUS,1985,2.5
Australia,AUS,1986,2.5
Australia,AUS,1987,2.4
Australia,AUS,1988,2.5
Australia,AUS,1989,2.5
Australia,AUS,1990,2.5
Australia,AUS,1991,2.6
Australia,AUS,1992,2.6
Australia,AUS,1993,2.7
Australia,AUS,1994,2.7
Australia,AUS,1995,2.8
Australia,AUS,1996,2.9
Australia,AUS,1997,2.8
Australia,AUS,1998,2.7
Australia,AUS,1999,2.8
Australia,AUS,2000,2.6
Australia,AUS,2001,2.8
Australia,AUS,2002,2.7
Australia,AUS,2003,2.7
Australia,AUS,2004,2.6
Australia,AUS,2005,2.6
Australia,AUS,2006,2.5
Australia,AUS,2007,2.3
Australia,AUS,2008,2.2
Australia,AUS,2009,2.3
Australia,AUS,2010,2.3
Australia,AUS,2011,2.2
Australia,AUS,2012,2.2
Australia,AUS,2013,2.1
Australia,AUS,2014,2
Australia,AUS,2015,2
Australia,AUS,2016,1.9315991
Australia,AUS,2017,2
Australia,AUS,2018,2
Australia,AUS,2019,1.9
Australia,AUS,2020,1.9
Australia,AUS,2021,2.2
Australia,AUS,2022,1.89
Austria,AUT,1960,1.1
Austria,AUT,1961,1.1
Austria,AUT,1962,1.1
Austria,AUT,1963,1.1
Austria,AUT,1964,1.2
Austria,AUT,1965,1.2
Austria,AUT,1966,1.2
Austria,AUT,1967,1.2
Austria,AUT,1968,1.3
Austria,AUT,1969,1.3
Austria,AUT,1970,1.4
Austria,AUT,1971,1.3
Austria,AUT,1972,1.3
Austria,AUT,1973,1.3
Austria,AUT,1974,1.4
Austria,AUT,1975,1.4
Austria,AUT,1976,1.5
Austria,AUT,1977,1.5
Austria,AUT,1978,1.6
Austria,AUT,1979,1.7
Austria,AUT,1980,1.8
Austria,AUT,1981,1.8
Austria,AUT,1982,1.9
Austria,AUT,1983,1.9
Austria,AUT,1984,2
Austria,AUT,1985,2
Austria,AUT,1986,1.9
Austria,AUT,1987,1.9
Austria,AUT,1988,2
Austria,AUT,1989,2
Austria,AUT,1990,2.1
Austria,AUT,1991,2.1
Austria,AUT,1992,2.1
Austria,AUT,1993,2.1
Austria,AUT,1994,2.1
Austria,AUT,1995,2.3
Austria,AUT,1996,2.3
Austria,AUT,1997,2.3
Austria,AUT,1998,2.2
Austria,AUT,1999,2.3
Austria,AUT,2000,2.4
Austria,AUT,2001,2.6
Austria,AUT,2002,2.5
Austria,AUT,2003,2.3
Austria,AUT,2004,2.4
Austria,AUT,2005,2.4
Austria,AUT,2006,2.5
Austria,AUT,2007,2.5
Austria,AUT,2008,2.4
Austria,AUT,2009,2.3
Austria,AUT,2010,2.1
Austria,AUT,2011,2.1
Austria,AUT,2012,2
Austria,AUT,2013,1.9
Austria,AUT,2014,1.9
Austria,AUT,2015,1.9
Austria,AUT,2016,1.8
Austria,AUT,2017,1.8
Austria,AUT,2018,1.8
Austria,AUT,2019,1.8
Austria,AUT,2020,1.7
Austria,AUT,2021,1.62
Austria,AUT,2022,1.54
Belgium,BEL,1960,0.5
Belgium,BEL,1961,0.5
Belgium,BEL,1962,0.5
Belgium,BEL,1963,0.6
Belgium,BEL,1964,0.6
Belgium,BEL,1965,0.6
Belgium,BEL,1966,0.6
Belgium,BEL,1967,0.6
Belgium,BEL,1968,0.6
Belgium,BEL,1969,0.7
Belgium,BEL,1970,0.7
Belgium,BEL,1971,0.7
Belgium,BEL,1972,0.8
Belgium,BEL,1973,0.9
Belgium,BEL,1974,1
Belgium,BEL,1975,1.1
Belgium,BEL,1976,1.3
Belgium,BEL,1977,1.3
Belgium,BEL,1978,1.4
Belgium,BEL,1979,1.4
Belgium,BEL,1980,1.5
Belgium,BEL,1981,1.6
Belgium,BEL,1982,1.6
Belgium,BEL,1983,1.7
Belgium,BEL,1984,1.9
Belgium,BEL,1985,1.9
Belgium,BEL,1986,1.9
Belgium,BEL,1987,2
Belgium,BEL,1988,2.1
Belgium,BEL,1989,2
Belgium,BEL,1990,2
Belgium,BEL,1991,2.1
Belgium,BEL,1992,2.2
Belgium,BEL,1993,2.1
Belgium,BEL,1994,2.2
Belgium,BEL,1995,3.5
Belgium,BEL,1996,2.8
Belgium,BEL,1997,2.6
Belgium,BEL,1998,2.6
Belgium,BEL,1999,2.6
Belgium,BEL,2000,2.6
Belgium,BEL,2001,2.8
Belgium,BEL,2002,3
Belgium,BEL,2003,3
Belgium,BEL,2004,3
Belgium,BEL,2005,2.9
Belgium,BEL,2006,2.8
Belgium,BEL,2007,2.8
Belgium,BEL,2008,3.3
Belgium,BEL,2009,3
Belgium,BEL,2010,2.7
Belgium,BEL,2011,2.5
Belgium,BEL,2012,2.3
Belgium,BEL,2013,2.2
Belgium,BEL,2014,2.2
Belgium,BEL,2015,2.2
Belgium,BEL,2016,2.1
Belgium,BEL,2017,2
Belgium,BEL,2018,2
Belgium,BEL,2019,2
Belgium,BEL,2020,1.8
Belgium,BEL,2021,1.9
Belgium,BEL,2022,1.7
Bulgaria,BGR,1961,1.1
Bulgaria,BGR,1962,1
Bulgaria,BGR,1963,1
Bulgaria,BGR,1964,1.1
Bulgaria,BGR,1965,1.1
Bulgaria,BGR,1966,1
Bulgaria,BGR,1967,1.2
Bulgaria,BGR,1968,1.2
Bulgaria,BGR,1969,1.1
Bulgaria,BGR,1970,1.2
Bulgaria,BGR,1971,1.1
Bulgaria,BGR,1972,1.2
Bulgaria,BGR,1973,1.3
Bulgaria,BGR,1974,1.3
Bulgaria,BGR,1975,1.3
Bulgaria,BGR,1976,1.3
Bulgaria,BGR,1977,1.5
Bulgaria,BGR,1978,1.4
Bulgaria,BGR,1979,1.4
Bulgaria,BGR,1980,1.5
Bulgaria,BGR,1981,1.5
Bulgaria,BGR,1982,1.5
Bulgaria,BGR,1983,1.6
Bulgaria,BGR,1984,1.5
Bulgaria,BGR,1985,1.6
Bulgaria,BGR,1986,1.1
Bulgaria,BGR,1987,1.3
Bulgaria,BGR,1988,1.4
Bulgaria,BGR,1989,1.4
Bulgaria,BGR,1990,1.3
Bulgaria,BGR,1991,1.3
Bulgaria,BGR,1992,1.1
Bulgaria,BGR,1993,0.9
Bulgaria,BGR,1994,0.9
Bulgaria,BGR,1995,1.3
Bulgaria,BGR,1996,1.2
Bulgaria,BGR,1997,1.1
Bulgaria,BGR,1998,1.3
Bulgaria,BGR,1999,1.2
Bulgaria,BGR,2000,1.3
Bulgaria,BGR,2001,1.3
Bulgaria,BGR,2002,1.3
Bulgaria,BGR,2003,1.5
Bulgaria,BGR,2004,1.9
Bulgaria,BGR,2005,1.9
Bulgaria,BGR,2006,2
Bulgaria,BGR,2007,2.2
Bulgaria,BGR,2008,1.9
Bulgaria,BGR,2009,1.6
Bulgaria,BGR,2010,1.5
Bulgaria,BGR,2011,1.4
Bulgaria,BGR,2012,1.6
Bulgaria,BGR,2013,1.5
Bulgaria,BGR,2014,1.5
Bulgaria,BGR,2015,1.5
Bulgaria,BGR,2016,1.5
Bulgaria,BGR,2017,1.5
Bulgaria,BGR,2018,1.5
Bulgaria,BGR,2019,1.6
Bulgaria,BGR,2020,1.3
Bulgaria,BGR,2021,1.5
Bulgaria,BGR,2022,1.4
Canada,CAN,1970,1.4
Canada,CAN,1980,2.5
Canada,CAN,1981,2.7
Canada,CAN,1982,2.8
Canada,CAN,1983,2.7
Canada,CAN,1984,2.6
Canada,CAN,1985,2.4
Canada,CAN,1986,3
Canada,CAN,1987,3.6
Canada,CAN,1988,3.1
Canada,CAN,1989,3
Canada,CAN,1990,2.8
Canada,CAN,1991,2.8
Canada,CAN,1992,2.8
Canada,CAN,1993,2.7
Canada,CAN,1994,2.7
Canada,CAN,1995,2.7
Canada,CAN,1996,2.4
Canada,CAN,1997,2.3
Canada,CAN,1998,2.3
Canada,CAN,1999,2.3
Canada,CAN,2000,2.3
Canada,CAN,2001,2.29
Canada,CAN,2002,2.24
Canada,CAN,2003,2.24
Canada,CAN,2004,2.18
Canada,CAN,2005,2.21
Canada,CAN,2006,2.29
Canada,CAN,2007,2.22
Canada,CAN,2008,2.11
Canada,CAN,2009,2.069
Canada,CAN,2010,2.049
Canada,CAN,2011,1.996
Canada,CAN,2012,1.974
Canada,CAN,2013,1.876
Canada,CAN,2014,1.77
Canada,CAN,2015,1.708
Canada,CAN,2016,1.728
Canada,CAN,2017,1.7
Canada,CAN,2018,1.7
Canada,CAN,2019,1.5
Canada,CAN,2020,1.1
Chile,CHL,2013,3.619995
Chile,CHL,2014,3.3011167
Chile,CHL,2015,3.3074176
Chile,CHL,2016,3.0714233
Chile,CHL,2017,3.1542642
Chile,CHL,2018,3.3169248
